firma,sektor,altsektor,web,not
IKEA Türkiye,eticaret-perakende-teknoloji,mobilya-perakende,ikea.com.tr,
Koçtaş,eticaret-perakende-teknoloji,yapi-market,koctas.com.tr,
sahibinden.com,eticaret-perakende-teknoloji,ilan-platformu,sahibinden.com,
Insider,eticaret-perakende-teknoloji,teknoloji-saas,useinsider.com,
Peak Games,eticaret-perakende-teknoloji,oyun,peak.com,
Dream Games,eticaret-perakende-teknoloji,oyun,dreamgames.com,
Casper,eticaret-perakende-teknoloji,elektronik,casper.com.tr,
Martı,eticaret-perakende-teknoloji,mobilite,marti.tech,
BiTaksi,eticaret-perakende-teknoloji,mobilite,bitaksi.com,
obilet,turizm-havayolu-telekom-otomotiv,seyahat-platformu,obilet.com,
Enuygun,turizm-havayolu-telekom-otomotiv,seyahat-platformu,enuygun.com,
ETS Tur,turizm-havayolu-telekom-otomotiv,tur-operatoru,etstur.com,
Jolly Tur,turizm-havayolu-telekom-otomotiv,tur-operatoru,jollytur.com,
Tatilbudur,turizm-havayolu-telekom-otomotiv,tur-operatoru,tatilbudur.com,
Setur,turizm-havayolu-telekom-otomotiv,tur-operatoru,setur.com.tr,Koç grubu
Türk Hava Yolları,turizm-havayolu-telekom-otomotiv,havayolu,turkishairlines.com,
Pegasus,turizm-havayolu-telekom-otomotiv,havayolu,flypgs.com,
AJet,turizm-havayolu-telekom-otomotiv,havayolu,ajet.com,
SunExpress,turizm-havayolu-telekom-otomotiv,havayolu,sunexpress.com,
Corendon Airlines,turizm-havayolu-telekom-otomotiv,havayolu,corendonairlines.com,
TAV Havalimanları,turizm-havayolu-telekom-otomotiv,havalimani,tav.aero,
İGA İstanbul Havalimanı,turizm-havayolu-telekom-otomotiv,havalimani,igairport.aero,
Turkcell,turizm-havayolu-telekom-otomotiv,telekom,turkcell.com.tr,
Vodafone Türkiye,turizm-havayolu-telekom-otomotiv,telekom,vodafone.com.tr,
Türk Telekom,turizm-havayolu-telekom-otomotiv,telekom,turktelekom.com.tr,
TurkNet,turizm-havayolu-telekom-otomotiv,telekom,turk.net,
Togg,turizm-havayolu-telekom-otomotiv,otomotiv,togg.com.tr,
Tofaş,turizm-havayolu-telekom-otomotiv,otomotiv,tofas.com.tr,
Ford Otosan,turizm-havayolu-telekom-otomotiv,otomotiv,fordotosan.com.tr,
Renault Türkiye,turizm-havayolu-telekom-otomotiv,otomotiv,renault.com.tr,
Toyota Türkiye,turizm-havayolu-telekom-otomotiv,otomotiv,toyota.com.tr,
Hyundai Assan,turizm-havayolu-telekom-otomotiv,otomotiv,hyundai.com.tr,
Doğuş Otomotiv,turizm-havayolu-telekom-otomotiv,otomotiv-distributor,dogusotomotiv.com.tr,
Borusan Otomotiv,turizm-havayolu-telekom-otomotiv,otomotiv-distributor,borusanotomotiv.com,
Mercedes-Benz Türk,turizm-havayolu-telekom-otomotiv,otomotiv,mercedes-benz.com.tr,
Otokoç Otomotiv,turizm-havayolu-telekom-otomotiv,otomotiv-kiralama,otokoc.com.tr,
Garenta,turizm-havayolu-telekom-otomotiv,arac-kiralama,garenta.com.tr,
Divan Otelleri,turizm-havayolu-telekom-otomotiv,otel-zinciri,divan.com.tr,
Rixos Hotels,turizm-havayolu-telekom-otomotiv,otel-zinciri,rixos.com,
Titanic Hotels,turizm-havayolu-telekom-otomotiv,otel-zinciri,titanic.com.tr,
Dedeman Hotels,turizm-havayolu-telekom-otomotiv,otel-zinciri,dedeman.com,
Barut Hotels,turizm-havayolu-telekom-otomotiv,otel-zinciri,baruthotels.com,
Bilyoner,finans,bahis-fintech,bilyoner.com,atamalar-eslesmeyen (29.08)
Misli,finans,bahis-fintech,misli.com,atamalar-eslesmeyen (29.08)
OKX TR,finans,kripto,tr.okx.com,atamalar-eslesmeyen (29.08)
Aon Türkiye,finans,sigorta-broker,aon.com,atamalar-eslesmeyen (29.08)
Samsung Electronics Türkiye,eticaret-perakende-teknoloji,elektronik,samsung.com,atamalar-eslesmeyen (29.08)
Logitech,eticaret-perakende-teknoloji,elektronik,logitech.com,atamalar-eslesmeyen (29.08)
Anker Türkiye,eticaret-perakende-teknoloji,elektronik,anker.com,atamalar-eslesmeyen (29.08)
Panasonic Türkiye,eticaret-perakende-teknoloji,elektronik,panasonic.com,atamalar-eslesmeyen (29.08)
Kärcher Türkiye,eticaret-perakende-teknoloji,ev-aletleri,kaercher.com,atamalar-eslesmeyen (29.08)
Espressolab,eticaret-perakende-teknoloji,kafe-perakende,espressolab.com,atamalar-eslesmeyen (29.08)
Doyuyo,eticaret-perakende-teknoloji,eticaret,doyuyo.com,atamalar-eslesmeyen (29.08)
Hopi,eticaret-perakende-teknoloji,perakende-teknoloji,hopi.com.tr,atamalar-eslesmeyen (29.08)
Emlakjet,eticaret-perakende-teknoloji,ilan-platformu,emlakjet.com,atamalar-eslesmeyen (29.08)
Cimri,eticaret-perakende-teknoloji,eticaret,cimri.com,atamalar-eslesmeyen (29.08)
Okul.com.tr,eticaret-perakende-teknoloji,eticaret,okul.com.tr,atamalar-eslesmeyen (29.08)
Eleman.net,eticaret-perakende-teknoloji,ilan-platformu,eleman.net,atamalar-eslesmeyen (29.08)
IdeaSoft,eticaret-perakende-teknoloji,eticaret-saas,ideasoft.com.tr,atamalar-eslesmeyen (29.08)
Nivogo,eticaret-perakende-teknoloji,eticaret,nivogo.com,atamalar-eslesmeyen (29.08)
Flormar,eticaret-perakende-teknoloji,kozmetik-perakende,flormar.com.tr,atamalar-eslesmeyen (29.08)
AVON Türkiye,eticaret-perakende-teknoloji,kozmetik,avon.com.tr,atamalar-eslesmeyen (29.08)
Saat&Saat,eticaret-perakende-teknoloji,perakende,saatvesaat.com.tr,atamalar-eslesmeyen (29.08)
Tchibo Türkiye,eticaret-perakende-teknoloji,perakende,tchibo.com.tr,atamalar-eslesmeyen (29.08)
KFC Türkiye,eticaret-perakende-teknoloji,restoran-zinciri,kfcturkiye.com,atamalar-eslesmeyen (29.08)
Dürümle,eticaret-perakende-teknoloji,restoran-zinciri,durumle.com,atamalar-eslesmeyen (29.08)
Kanyon AVM,eticaret-perakende-teknoloji,avm,kanyon.com.tr,atamalar-eslesmeyen (29.08)
Dataroid,eticaret-perakende-teknoloji,teknoloji-saas,dataroid.com,atamalar-eslesmeyen (29.08)
Roksit,eticaret-perakende-teknoloji,teknoloji,roksit.com,atamalar-eslesmeyen (29.08)
Peyman,eticaret-perakende-teknoloji,gida-perakende,peyman.com.tr,atamalar-eslesmeyen (29.08)
Kia Türkiye,turizm-havayolu-telekom-otomotiv,otomotiv,kia.com,atamalar-eslesmeyen (29.08)
Opel Türkiye,turizm-havayolu-telekom-otomotiv,otomotiv,opel.com.tr,atamalar-eslesmeyen (29.08)
